"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb01g000590"	"SORBI_3001G005500"	"Sobic.001G005500"	"AT5G24490.1"	""	"30S ribosomal protein, putative"	"LOC_Os03g63950.1"	"plastid-specific 30S ribosomal protein 1, chloroplast precursor, putative, expressed"
"Sb01g000690"	"SORBI_3001G006500"	"Sobic.001G006500"	"AT1G57790.1"	""	"F-box family protein"	"LOC_Os03g63850.1"	"OsFBDUF19 - F-box and DUF domain containing protein, expressed"
"Sb01g000696"	"SORBI_3001G006600"	"Sobic.001G006600"	"AT1G30650.1"	"AR411,ATWRKY14,WRKY14"	"WRKY DNA-binding protein 14"	"LOC_Os03g63810.1"	"WRKY80, expressed"
"Sb01g000740"	"SORBI_3001G007300"	"Sobic.001G007300"	"AT1G24450.1"	"NFD2"	"Ribonuclease III family protein"	"LOC_Os03g63740.1"	"NFD2, putative, expressed"
"Sb01g000770"	"SORBI_3001G007600"	"Sobic.001G007600"	"AT4G17890.1"	"AGD8"	"ARF-GAP domain 8"	"LOC_Os03g63710.1"	"GTPase-activating protein, putative, expressed"
"Sb01g000810"	"SORBI_3001G008100"	"Sobic.001G008100"	"AT2G35790.1"	""	""	"LOC_Os03g63680.1"	"expressed protein"
"Sb01g000830"	"SORBI_3001G008300"	"Sobic.001G008300"	"AT3G45900.1"	""	"Ribonuclease P protein subunit P38-related"	"LOC_Os03g63660.1"	"expressed protein"
"Sb01g000840"	"SORBI_3001G008400"	"Sobic.001G008400"	"AT1G31880.1"	"BRX,NLM9"	"DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein"	"LOC_Os03g63650.1"	"brevis radix, putative, expressed"
"Sb01g000860"	"SORBI_3001G008600"	"Sobic.001G008600"	"AT3G03530.1"	"NPC4"	"non-specific phospholipase C4"	"LOC_Os03g63580.1"	"phosphoesterase family protein, putative, expressed"
"Sb01g000880"	"SORBI_3001G008800"	"Sobic.001G008800"	"AT1G73940.1"	""	""	"LOC_Os03g63550.1"	"expressed protein"
"Sb01g000890"	"SORBI_3001G008900"	"Sobic.001G008900"	"AT2G28440.1"	""	"proline-rich family protein"	"LOC_Os03g63540.1"	"lysine-rich arabinogalactan protein 19 precursor, putative, expressed"
"Sb01g000900"	"SORBI_3001G009200"	"Sobic.001G009200"	"AT1G07980.1"	"NF-YC10"	"nuclear factor Y, subunit C10"	"LOC_Os03g63530.1"	"histone-like transcription factor and archaeal histone, putative, expressed"
"Sb01g000930"	"SORBI_3001G009500"	"Sobic.001G009500"	"AT5G65660.1"	""	"hydroxyproline-rich glycoprotein family protein"	""	""
"Sb01g000940"	"SORBI_3001G009600"	"Sobic.001G009600"	"AT2G25530.1"	""	"AFG1-like ATPase family protein"	"LOC_Os03g63500.1"	"ATPase, AFG1 family domain containing protein, expressed"
"Sb01g000950"	"SORBI_3001G009700"	"Sobic.001G009700"	"AT5G02560.1"	"HTA12"	"histone H2A 12"	"LOC_Os05g02300.1"	"Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
"Sb01g000990"	"SORBI_3001G010100"	"Sobic.001G010100"	"AT4G35450.1"	"AFT,AKR2,AKR2A"	"ankyrin repeat-containing protein 2"	"LOC_Os03g63480.1"	"ankyrin repeat domain containing protein, expressed"
"Sb01g001000"	"SORBI_3001G010200"	"Sobic.001G010200"	"AT2G47010.2"	""	""	"LOC_Os05g19030.2"	"expressed protein"
"Sb01g001030"	"SORBI_3001G010500"	"Sobic.001G010500"	"AT4G00650.1"	"FLA,FRI"	"FRIGIDA-like protein"	"LOC_Os03g63440.1"	"frigida, putative, expressed"
"Sb01g001070"	"SORBI_3001G010900"	"Sobic.001G010900"	"AT3G54900.1"	"ATGRXCP,CXIP1"	"CAX interacting protein 1"	"LOC_Os03g63420.1"	"OsGrx_S14 - glutaredoxin subgroup II, expressed"
"Sb01g001080"	"SORBI_3001G011000"	"Sobic.001G011000"	"AT4G02930.1"	""	"GTP binding Elongation factor Tu family protein"	"LOC_Os03g63410.1"	"elongation factor Tu, putative, expressed"
"Sb01g001100"	"SORBI_3001G011200"	"Sobic.001G011200"	"AT1G17880.1"	"ATBTF3,BTF3"	"basic transcription factor 3"	"LOC_Os03g63400.1"	"transcription factor BTF3, putative, expressed"
"Sb01g001130"	"SORBI_3001G011600"	"Sobic.001G011600"	"AT1G28140.1"	""	""	"LOC_Os03g63360.1"	"glutathione S-transferase, putative, expressed"
"Sb01g001140"	"SORBI_3001G011700"	"Sobic.001G011700"	"AT5G13280.1"	"AK,AK-LYS1,AK1"	"aspartate kinase 1"	"LOC_Os03g63330.1"	"aspartokinase, chloroplast precursor, putative, expressed"
"Sb01g001150"	"SORBI_3001G011800"	"Sobic.001G011800"	"AT3G48800.1"	""	"Sterile alpha motif (SAM) domain-containing protein"	"LOC_Os03g63320.1"	"SAM domain containing protein, putative, expressed"
"Sb01g001160"	"SORBI_3001G012000"	"Sobic.001G012000"	"AT3G26300.1"	"CYP71B34"	"cytochrome P450, family 71, subfamily B, polypeptide 34"	"LOC_Os03g63310.1"	"cytochrome P450 71E1, putative, expressed"
"Sb01g001180"	"SORBI_3001G012200"	"Sobic.001G012200"	"AT1G13110.1"	"CYP71B7"	"cytochrome P450, family 71 subfamily B, polypeptide 7"	"LOC_Os12g32850.1"	"cytochrome P450, putative, expressed"
"Sb01g001200"	"SORBI_3001G012300"	"Sobic.001G012300"	"AT4G39950.1"	"CYP79B2"	"cytochrome P450, family 79, subfamily B, polypeptide 2"	"LOC_Os03g37290.1"	"cytochrome P450, putative, expressed"
"Sb01g001220"	"SORBI_3001G012400"	"Sobic.001G012400"	"AT1G22380.1"	"AtUGT85A3,UGT85A3"	"UDP-glucosyl transferase 85A3"	"LOC_Os02g51910.1"	"cytokinin-O-glucosyltransferase 2, putative, expressed"
"Sb01g001230"	"SORBI_3001G012500"	"Sobic.001G012500"	"AT3G62760.1"	"ATGSTF13"	"Glutathione S-transferase family protein"	"LOC_Os01g55830.1"	"glutathione S-transferase, putative, expressed"
"Sb01g001240"	"SORBI_3001G012600"	"Sobic.001G012600"	"AT3G21690.1"	""	"MATE efflux family protein"	"LOC_Os03g37490.1"	"MATE efflux family protein, putative, expressed"
"Sb01g001250"	"SORBI_3001G012700"	"Sobic.001G012700"	"AT4G19970.1"	""	""	"LOC_Os03g63280.1"	"regulatory protein, putative, expressed"
"Sb01g001260"	"SORBI_3001G012800"	"Sobic.001G012800"	"AT1G14590.1"	""	"Nucleotide-diphospho-sugar transferase family protein"	"LOC_Os03g63270.1"	"regulatory protein, putative, expressed"
"Sb01g001270"	"SORBI_3001G012900"	"Sobic.001G012900"	"AT4G24840.1"	""	""	"LOC_Os03g63250.1"	"brefeldin A-sensitive Golgi protein-like, putative, expressed"
"Sb01g001280"	"SORBI_3001G013000"	"Sobic.001G013000"	"AT3G25070.1"	"RIN4"	"RPM1 interacting protein 4"	"LOC_Os03g63140.2"	"nitrate-induced NOI protein, expressed"
"Sb01g001280"	"SORBI_3001G013000"	"Sobic.001G013000"	"AT3G25070.1"	"RIN4"	"RPM1 interacting protein 4"	"LOC_Os03g63140.1"	"nitrate-induced NOI protein, expressed"
"Sb01g001300"	"SORBI_3001G013200"	"Sobic.001G013200"	"AT4G14147.1"	"ARPC4"	"protein binding"	"LOC_Os03g63090.1"	"actin-related protein 2/3 complex subunit 4, putative, expressed"
"Sb01g001350"	"SORBI_3001G013800"	"Sobic.001G013800"	"AT3G07130.1"	"ATPAP15,PAP15"	"purple acid phosphatase 15"	"LOC_Os03g63074.1"	"Ser/Thr protein phosphatase family protein, expressed"
"Sb01g001350"	"SORBI_3001G013800"	"Sobic.001G013800"	"AT3G07130.1"	"ATPAP15,PAP15"	"purple acid phosphatase 15"	"LOC_Os03g63074.2"	"Ser/Thr protein phosphatase family protein, expressed"
"Sb01g001370"	"SORBI_3001G014000"	"Sobic.001G014000"	"AT5G16490.1"	"RIC4"	"ROP-interactive CRIB motif-containing protein 4"	"LOC_Os03g63060.1"	"P21-Rho-binding domain containing protein, putative, expressed"
"Sb01g001370"	"SORBI_3001G014000"	"Sobic.001G014000"	"AT4G28556.1"	"RIC7"	"PAK-box/P21-Rho-binding family protein"	"LOC_Os03g63060.1"	"P21-Rho-binding domain containing protein, putative, expressed"
"Sb01g001390"	"SORBI_3001G014200"	"Sobic.001G014200"	"AT4G13020.1"	"MHK"	"Protein kinase superfamily protein"	"LOC_Os03g63020.5"	"protein kinase domain containing protein, expressed"
"Sb01g001390"	"SORBI_3001G014200"	"Sobic.001G014200"	"AT4G13020.1"	"MHK"	"Protein kinase superfamily protein"	"LOC_Os03g63020.3"	"protein kinase domain containing protein, expressed"
"Sb01g001420"	"SORBI_3001G014500"	"Sobic.001G014500"	"AT3G59600.1"	"NRPB8B,NRPD8B,NRPE8B"	"RNA polymerase Rpb8"	"LOC_Os06g48230.1"	"DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative, expressed"
"Sb01g001460"	"SORBI_3001G015000"	"Sobic.001G015000"	"AT5G47210.1"	""	"Hyaluronan / mRNA binding family"	"LOC_Os03g62830.1"	"nuclear antigen, putative, expressed"
"Sb01g001470"	"SORBI_3001G015100"	"Sobic.001G015100"	"AT2G43120.1"	""	"RmlC-like cupins superfamily protein"	"LOC_Os03g62790.1"	"pirin, putative, expressed"
"Sb01g001470"	"SORBI_3001G015100"	"Sobic.001G015100"	"AT2G43120.1"	""	"RmlC-like cupins superfamily protein"	"LOC_Os03g62790.2"	"pirin, putative, expressed"
"Sb01g001480"	"SORBI_3001G015200"	"Sobic.001G015200"	"AT3G23700.1"	""	"Nucleic acid-binding proteins superfamily"	"LOC_Os03g62780.1"	"S1 RNA binding domain containing protein, expressed"
"Sb01g001490"	"SORBI_3001G015300"	"Sobic.001G015300"	""	""	""	"LOC_Os03g62770.1"	"expressed protein"
"Sb01g001520"	"SORBI_3001G015500"	"Sobic.001G015500"	"AT1G24490.1"	"ALB4,ARTEMIS"	"OxaA/YidC-like membrane insertion protein"	"LOC_Os03g62750.1"	"inner membrane protein, putative, expressed"
"Sb01g001530"	"SORBI_3001G015600"	"Sobic.001G015600"	""	""	""	"LOC_Os07g18070.1"	"expressed protein"
"Sb01g001540"	"SORBI_3001G015700"	"Sobic.001G015700"	"AT3G48460.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os03g62740.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb01g001570"	"SORBI_3001G016100"	"Sobic.001G016100"	"AT2G27610.1"	""	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"LOC_Os03g62690.2"	"pentatricopeptide, putative, expressed"
"Sb01g001590"	"SORBI_3001G016200"	"Sobic.001G016200"	"AT1G61000.1"	""	""	"LOC_Os03g38010.1"	"nuf2 family protein, expressed"
"Sb01g001610"	"SORBI_3001G016500"	"Sobic.001G016500"	"AT1G27400.1"	""	"Ribosomal protein L22p/L17e family protein"	"LOC_Os09g08430.1"	"ribosomal protein L22, putative, expressed"
"Sb01g001650"	"SORBI_3001G017000"	"Sobic.001G017000"	"AT1G64510.1"	""	"Translation elongation  factor EF1B/ribosomal protein S6 family protein"	"LOC_Os03g62630.1"	"ribosomal protein S6, putative, expressed"
"Sb01g001660"	"SORBI_3001G017100"	"Sobic.001G017100"	"AT2G44060.1"	""	"Late embryogenesis abundant protein, group 2"	"LOC_Os03g62620.4"	"late embryogenesis abundant protein, putative, expressed"
"Sb01g001660"	"SORBI_3001G017100"	"Sobic.001G017100"	"AT2G44060.1"	""	"Late embryogenesis abundant protein, group 2"	"LOC_Os03g62620.2"	"late embryogenesis abundant protein, putative, expressed"
"Sb01g001660"	"SORBI_3001G017100"	"Sobic.001G017100"	"AT2G44060.2"	""	"Late embryogenesis abundant protein, group 2"	"LOC_Os03g62620.4"	"late embryogenesis abundant protein, putative, expressed"
"Sb01g001670"	"SORBI_3001G017200"	"Sobic.001G017200"	"AT3G20920.1"	""	"translocation protein-related"	"LOC_Os02g23890.1"	"protein transporter, putative, expressed"
"Sb01g001680"	"SORBI_3001G017300"	"Sobic.001G017300"	"AT2G02410.1"	""	""	"LOC_Os03g62610.1"	"RNA-binding protein containing a PIN domain, putative, expressed"
"Sb01g001690"	"SORBI_3001G017400"	"Sobic.001G017400"	"AT1G09630.1"	"ATRAB-A2A,ATRAB11C,ATRABA2A,RAB-A2A,RAB11c"	"RAB GTPase 11C"	"LOC_Os03g62600.1"	"ras-related protein, putative, expressed"
"Sb01g001700"	"SORBI_3001G017500"	"Sobic.001G017500"	"AT4G10020.1"	"AtHSD5,HSD5"	"hydroxysteroid dehydrogenase 5"	"LOC_Os03g62590.1"	"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"
"Sb01g001750"	"SORBI_3001G018000"	"Sobic.001G018000"	"AT1G57770.1"	""	"FAD/NAD(P)-binding oxidoreductase family protein"	"LOC_Os03g62510.1"	"amine oxidase, flavin-containing, domain containing protein, expressed"
"Sb01g001810"	"SORBI_3001G018500"	"Sobic.001G018500"	"AT1G72170.1"	""	"Domain of unknown function (DUF543)"	"LOC_Os03g62420.1"	"expressed protein"
"Sb01g001840"	"SORBI_3001G018800"	"Sobic.001G018800"	"AT3G23390.1"	""	"Zinc-binding ribosomal protein family protein"	"LOC_Os07g33898.1"	"60S ribosomal protein L44, putative, expressed"
"Sb01g001850"	"SORBI_3001G018900"	"Sobic.001G018900"	"AT5G58420.1"	""	"Ribosomal protein S4 (RPS4A) family protein"	"LOC_Os02g01560.1"	"40S ribosomal protein S4, putative, expressed"
"Sb01g001860"	"SORBI_3001G019100"	"Sobic.001G019100"	""	""	""	"LOC_Os07g14660.1"	"harpin-induced protein 1 domain containing protein, expressed"
"Sb01g001870"	"SORBI_3001G019200"	"Sobic.001G019200"	"AT2G13690.1"	""	"PRLI-interacting factor, putative"	"LOC_Os04g20920.1"	"H-BTB2 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
"Sb01g001880"	"SORBI_3001G019300"	"Sobic.001G019300"	"AT1G21680.1"	""	"DPP6 N-terminal domain-like protein"	"LOC_Os03g62370.1"	"WD40-like Beta Propeller Repeat family protein, expressed"
"Sb01g001890"	"SORBI_3001G019400"	"Sobic.001G019400"	"AT1G77280.1"	""	"Protein kinase protein with adenine nucleotide alpha hydrolases-like domain"	"LOC_Os03g62340.1"	"protein kinase family protein, putative, expressed"
"Sb01g001900"	"SORBI_3001G019700"	"Sobic.001G019700"	"AT1G71870.1"	""	"MATE efflux family protein"	"LOC_Os03g62270.1"	"MATE efflux family protein, putative, expressed"
"Sb01g001940"	"SORBI_3001G020100"	"Sobic.001G020100"	"AT4G09620.1"	""	"Mitochondrial transcription termination factor family protein"	"LOC_Os03g62240.1"	"expressed protein"
"Sb01g001980"	"SORBI_3001G020500"	"Sobic.001G020500"	"AT1G34300.1"	""	"lectin protein kinase family protein"	"LOC_Os03g62180.2"	"lectin protein kinase family protein, putative, expressed"
"Sb01g001990"	"SORBI_3001G020600"	"Sobic.001G020600"	"AT5G08720.1"	""	""	"LOC_Os03g62170.1"	"cyclase/dehydrase family protein, expressed"
"Sb01g002000"	"SORBI_3001G020700"	"Sobic.001G020700"	"AT2G33793.1"	""	""	"LOC_Os03g62160.1"	"expressed protein"
"Sb01g002050"	"SORBI_3001G021500"	"Sobic.001G021500"	"AT5G64740.1"	"CESA6,E112,IXR2,PRC1"	"cellulose synthase 6"	"LOC_Os07g24190.1"	"CESA3 - cellulose synthase, expressed"
"Sb01g002060"	"SORBI_3001G021700"	"Sobic.001G021700"	"AT3G14470.1"	""	"NB-ARC domain-containing disease resistance protein"	"LOC_Os05g12770.1"	"NB-ARC domain containing protein, expressed"
"Sb01g002080"	"SORBI_3001G021900"	"Sobic.001G021900"	"AT3G02875.1"	"ILR1"	"Peptidase M20/M25/M40 family protein"	"LOC_Os03g62060.1"	"hydrolase, putative, expressed"
"Sb01g002120"	"SORBI_3001G022300"	"Sobic.001G022300"	"AT5G40080.1"	""	"Mitochondrial ribosomal protein L27"	"LOC_Os02g40490.1"	"expressed protein"
"Sb01g002130"	"SORBI_3001G022400"	"Sobic.001G022400"	"AT2G35460.1"	""	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	"LOC_Os03g62010.1"	"harpin-induced protein 1 domain containing protein, expressed"
"Sb01g002150"	"SORBI_3001G022600"	"Sobic.001G022600"	"AT3G26420.1"	"ATRZ-1A"	"RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain"	"LOC_Os03g61990.2"	"glycine-rich RNA-binding protein 7, putative, expressed"
"Sb01g002150"	"SORBI_3001G022600"	"Sobic.001G022600"	"AT3G26420.1"	"ATRZ-1A"	"RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain"	"LOC_Os03g61990.1"	"glycine-rich RNA-binding protein 7, putative, expressed"
"Sb01g002170"	"SORBI_3001G022800"	"Sobic.001G022800"	"AT5G09810.1"	"ACT7"	"actin 7"	"LOC_Os03g61970.1"	"actin, putative, expressed"
"Sb01g002230"	"SORBI_3001G023400"	"Sobic.001G023400"	"AT4G02510.1"	"ATTOC159,PPI2,TOC159,TOC160,TOC86"	"translocon at the outer envelope membrane of chloroplasts 159"	"LOC_Os03g61890.1"	"chloroplast protein import component Toc159, putative, expressed"
"Sb01g002240"	"SORBI_3001G023500"	"Sobic.001G023500"	"AT3G58650.1"	""	""	"LOC_Os03g61620.1"	"expressed protein"
"Sb01g002250"	"SORBI_3001G023600"	"Sobic.001G023600"	"AT1G30890.2"	""	"Integral membrane HRF1 family protein"	"LOC_Os06g41590.1"	"YIF1B, putative, expressed"
"Sb01g002270"	"SORBI_3001G023900"	"Sobic.001G023900"	"AT5G49300.1"	"GATA16"	"GATA transcription factor 16"	"LOC_Os03g61570.2"	"expressed protein"
"Sb01g002280"	"SORBI_3001G024000"	"Sobic.001G024000"	"AT3G16810.1"	"APUM24,PUM24"	"pumilio 24"	"LOC_Os03g61560.1"	"expressed protein"
"Sb01g002290"	"SORBI_3001G024100"	"Sobic.001G024100"	"AT3G06778.1"	""	"Chaperone DnaJ-domain superfamily protein"	"LOC_Os03g61550.1"	"heat shock protein DnaJ, putative, expressed"
"Sb01g002320"	"SORBI_3001G024300"	"Sobic.001G024300"	"AT5G62350.1"	""	"Plant invertase/pectin methylesterase inhibitor superfamily protein"	"LOC_Os03g61530.1"	"invertase/pectin methylesterase inhibitor family protein, putative, expressed"
"Sb01g002330"	"SORBI_3001G024400"	"Sobic.001G024400"	"AT1G53840.1"	"ATPME1,PME1"	"pectin methylesterase 1"	"LOC_Os03g61510.1"	"pectinesterase inhibitor domain containing protein, expressed"
"Sb01g002340"	"SORBI_3001G024500"	"Sobic.001G024500"	"AT1G14870.1"	"PCR2"	"PLANT CADMIUM RESISTANCE 2"	"LOC_Os03g61470.1"	"uncharacterized Cys-rich domain containing protein, putative, expressed"
"Sb01g002360"	"SORBI_3001G024700"	"Sobic.001G024700"	"AT1G14870.1"	"PCR2"	"PLANT CADMIUM RESISTANCE 2"	"LOC_Os03g61470.1"	"uncharacterized Cys-rich domain containing protein, putative, expressed"
"Sb01g002370"	"SORBI_3001G024800"	"Sobic.001G024800"	"AT1G14870.1"	"PCR2"	"PLANT CADMIUM RESISTANCE 2"	"LOC_Os03g61470.1"	"uncharacterized Cys-rich domain containing protein, putative, expressed"
"Sb01g002380"	"SORBI_3001G024900"	"Sobic.001G024900"	""	""	""	"LOC_Os03g61410.1"	"expressed protein"
"Sb01g002420"	"SORBI_3001G025400"	"Sobic.001G025400"	"AT4G15940.1"	""	"Fumarylacetoacetate (FAA) hydrolase family"	"LOC_Os03g61330.3"	"fumarylacetoacetase, putative, expressed"
"Sb01g002420"	"SORBI_3001G025400"	"Sobic.001G025400"	"AT4G15940.1"	""	"Fumarylacetoacetate (FAA) hydrolase family"	"LOC_Os03g61330.1"	"fumarylacetoacetase, putative, expressed"
"Sb01g002430"	"SORBI_3001G025500"	"Sobic.001G025500"	"AT1G56340.2"	"AtCRT1a,CRT1,CRT1a"	"calreticulin 1a"	"LOC_Os03g61670.1"	"calreticulin precursor, putative, expressed"
"Sb01g002470"	"SORBI_3001G025900"	"Sobic.001G025900"	"AT3G17030.1"	""	"Nucleic acid-binding proteins superfamily"	"LOC_Os03g61700.1"	"expressed protein"
"Sb01g002480"	"SORBI_3001G026000"	"Sobic.001G026000"	"AT3G06580.1"	"GAL1,GALK"	"Mevalonate/galactokinase family protein"	"LOC_Os03g61710.1"	"GHMP kinases ATP-binding protein, putative, expressed"
"Sb01g002510"	"SORBI_3001G026300"	"Sobic.001G026300"	"AT2G47140.1"	""	"NAD(P)-binding Rossmann-fold superfamily protein"	"LOC_Os03g61740.1"	"sex determination protein tasselseed-2, putative, expressed"
"Sb01g002530"	"SORBI_3001G026500"	"Sobic.001G026500"	"AT3G60030.1"	"SPL12"	"squamosa promoter-binding protein-like 12"	"LOC_Os03g61760.1"	"OsSPL6 - SBP-box gene family member, expressed"
"Sb01g002540"	"SORBI_3001G026700"	"Sobic.001G026700"	"AT1G09460.1"	""	"Carbohydrate-binding X8 domain superfamily protein"	"LOC_Os03g61780.1"	"glucan endo-1,3-beta-glucosidase-related, putative, expressed"
"Sb01g002550"	"SORBI_3001G026800"	"Sobic.001G026800"	"AT3G62110.1"	""	"Pectin lyase-like superfamily protein"	"LOC_Os03g61800.1"	"polygalacturonase, putative, expressed"
"Sb01g002550"	"SORBI_3001G026800"	"Sobic.001G026800"	"AT3G62110.1"	""	"Pectin lyase-like superfamily protein"	"LOC_Os03g61800.2"	"polygalacturonase, putative, expressed"
"Sb01g002600"	"SORBI_3001G027500"	"Sobic.001G027500"	"AT5G02230.2"	""	"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein"	"LOC_Os01g74152.1"	"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
"Sb01g002610"	"SORBI_3001G027600"	"Sobic.001G027600"	"AT1G48350.1"	""	"Ribosomal L18p/L5e family protein"	"LOC_Os03g61260.1"	"ribosomal L18p/L5e family protein, putative, expressed"
"Sb01g002620"	"SORBI_3001G027700"	"Sobic.001G027700"	"AT1G20430.1"	""	""	"LOC_Os06g11060.1"	"expressed protein"
"Sb01g002640"	"SORBI_3001G027900"	"Sobic.001G027900"	"AT3G17630.1"	"ATCHX19,CHX19"	"cation/H+ exchanger 19"	"LOC_Os03g61290.1"	"ATCHX, putative, expressed"
"Sb01g002650"	"SORBI_3001G028000"	"Sobic.001G028000"	""	""	""	"LOC_Os03g61240.1"	"expressed protein"
"Sb01g002660"	"SORBI_3001G028100"	"Sobic.001G028100"	"AT5G26742.2"	"emb1138"	"DEAD box RNA helicase (RH3)"	"LOC_Os03g61220.1"	"DEAD-box ATP-dependent RNA helicase 3, putative, expressed"
